Sl. No.,State/UT,Reference City,Petrol (Rs./Litre),Diesel (Rs./Litre)
1,Lakshadweep,Kavaratti,108.06,103.08
2,Andhra Pradesh,Amaravati,111.87,99.61
3,Kerala,Thiruvananthapuram,109.73,98.53
4,Telangana,Hyderabad,109.66,97.82
5,Chhatisgarh,Raipur,102.45,95.44
6,Odisha,Bhubaneswar,103.19,94.76
7,Jharkhand,Ranchi,99.84,94.65
8,Maharashtra,Mumbai,106.31,94.27
9,Tamil Nadu,Chennai,102.63,94.24
10,Bihar,Patna,107.24,94.04
11,Madhya Pradesh,Bhopal,108.65,93.9
12,Rajasthan,Jaipur,108.48,93.72
13,West Bengal,Kolkata,106.03,92.76
14,Gujarat,Gandhinagar,96.63,92.38
15,Uttarakhand,Dehradun,95.33,90.33
16,Assam,Guwahati,98.03,90.33
17,Haryana,Ambala,97.48,90.31
18,Goa,Panaji,97.68,90.23
19,D&NH&DD,Silvasa,94.43,89.98
20,D&NH&DD,Daman,94.43,89.86
21,Uttar Pradesh,Lucknow,96.57,89.76
22,Sikkim,Gangtok,102.5,89.7
23,Delhi,Delhi,96.72,89.62
24,Himachal Pradesh,Shimla,97.26,89.13
25,Ladakh,Leh,103.59,88.85
26,Tripura,Agartala,99.49,88.44
27,Punjab,Jalandhar,98.01,88.34
28,Karnataka,Bengaluru,101.94,87.89
29,Nagaland,Kohima,99.51,87.59
30,Manipur,Imphal,101.23,87.15
31,Jammu and Kashmir,Srinagar,101.34,86.59
32,Puducherry,Puducherry,96.16,86.33
33,Meghalaya,Shillong,97.49,85.72
34,Chandigarh,Chandigarh,96.2,84.26
35,Jammu and Kashmir,Jammu,101.34,83.26
36,Mizoram,Aizawl,95.88,82.27
37,Arunachal Pradesh,Itanagar,92.78,82.2
38,Andaman and Nicobar,Port Blair,84.1,79.74
